image_index,label,subject,split
2140,23,Colin Powell,probe
3252,23,Colin Powell,probe
2937,23,Colin Powell,probe
1894,24,Condoleezza Rice,train
905,24,Condoleezza Rice,train
4314,24,Condoleezza Rice,train
3002,24,Condoleezza Rice,train
2701,24,Condoleezza Rice,train
4170,24,Condoleezza Rice,gallery
1561,24,Condoleezza Rice,probe
3496,24,Condoleezza Rice,probe
3474,24,Condoleezza Rice,probe
3488,24,Condoleezza Rice,probe
64,25,David Beckham,train
3116,25,David Beckham,train
2459,25,David Beckham,train
3958,25,David Beckham,train
1703,25,David Beckham,train
2673,25,David Beckham,gallery
4092,25,David Beckham,probe
2988,25,David Beckham,probe
248,25,David Beckham,probe
752,25,David Beckham,probe
37,26,David Nalbandian,train
1092,26,David Nalbandian,train
2709,26,David Nalbandian,train
4083,26,David Nalbandian,train
987,26,David Nalbandian,train
2747,26,David Nalbandian,gallery
604,26,David Nalbandian,probe
720,26,David Nalbandian,probe
128,26,David Nalbandian,probe
696,26,David Nalbandian,probe
2784,27,Dick Cheney,train
955,27,Dick Cheney,train
3661,27,Dick Cheney,train
3168,27,Dick Cheney,train
1089,27,Dick Cheney,train
2955,27,Dick Cheney,gallery
2694,27,Dick Cheney,probe
1907,27,Dick Cheney,probe
231,27,Dick Cheney,probe
3647,27,Dick Cheney,probe
72,28,Dominique de Villepin,train
619,28,Dominique de Villepin,train
1959,28,Dominique de Villepin,train
2979,28,Dominique de Villepin,train
1792,28,Dominique de Villepin,train
1210,28,Dominique de Villepin,gallery
1401,28,Dominique de Villepin,probe
11,28,Dominique de Villepin,probe
1740,28,Dominique de Villepin,probe
1510,28,Dominique de Villepin,probe
306,29,Donald Rumsfeld,train
334,29,Donald Rumsfeld,train
131,29,Donald Rumsfeld,train
3049,29,Donald Rumsfeld,train
1100,29,Donald Rumsfeld,train
309,29,Donald Rumsfeld,gallery
2561,29,Donald Rumsfeld,probe
2214,29,Donald Rumsfeld,probe
3848,29,Donald Rumsfeld,probe
2678,29,Donald Rumsfeld,probe
3997,30,Edmund Stoiber,train
208,30,Edmund Stoiber,train
1196,30,Edmund Stoiber,train
305,30,Edmund Stoiber,train
3606,30,Edmund Stoiber,train
1153,30,Edmund Stoiber,gallery
4302,30,Edmund Stoiber,probe
3788,30,Edmund Stoiber,probe
2651,30,Edmund Stoiber,probe
2399,30,Edmund Stoiber,probe
2570,31,Eduardo Duhalde,train
1270,31,Eduardo Duhalde,train
1930,31,Eduardo Duhalde,train
1889,31,Eduardo Duhalde,train
3956,31,Eduardo Duhalde,train
4056,31,Eduardo Duhalde,gallery
3098,31,Eduardo Duhalde,probe
2652,31,Eduardo Duhalde,probe
2997,31,Eduardo Duhalde,probe
2246,31,Eduardo Duhalde,probe
3891,32,Fidel Castro,train
4263,32,Fidel Castro,train
1943,32,Fidel Castro,train
876,32,Fidel Castro,train
3033,32,Fidel Castro,train
1545,32,Fidel Castro,gallery
1355,32,Fidel Castro,probe
2224,32,Fidel Castro,probe
2112,32,Fidel Castro,probe
3898,32,Fidel Castro,probe
1021,33,George HW Bush,train
1022,33,George HW Bush,train
1313,33,George HW Bush,train
3083,33,George HW Bush,train
133,33,George HW Bush,train
557,33,George HW Bush,gallery
3925,33,George HW Bush,probe
4270,33,George HW Bush,probe
3860,33,George HW Bush,probe
4259,33,George HW Bush,probe
3600,34,George Robertson,train
1603,34,George Robertson,train
1867,34,George Robertson,train
570,34,George Robertson,train
1816,34,George Robertson,train
3610,34,George Robertson,gallery
71,34,George Robertson,probe
465,34,George Robertson,probe
188,34,George Robertson,probe
2684,34,George Robertson,probe
2894,35,George W Bush,train
1643,35,George W Bush,train
4266,35,George W Bush,train
4107,35,George W Bush,train
616,35,George W Bush,train
1915,35,George W Bush,gallery
606,35,George W Bush,probe
2128,35,George W Bush,probe
3907,35,George W Bush,probe
3599,35,George W Bush,probe
3709,36,Gerhard Schroeder,train
2314,36,Gerhard Schroeder,train
3862,36,Gerhard Schroeder,train
751,36,Gerhard Schroeder,train
281,36,Gerhard Schroeder,train
1039,36,Gerhard Schroeder,gallery
730,36,Gerhard Schroeder,probe
834,36,Gerhard Schroeder,probe
674,36,Gerhard Schroeder,probe
4213,36,Gerhard Schroeder,probe
1719,37,Gloria Macapagal Arroyo,train
2361,37,Gloria Macapagal Arroyo,train
2619,37,Gloria Macapagal Arroyo,train
3628,37,Gloria Macapagal Arroyo,train
2417,37,Gloria Macapagal Arroyo,train
4032,37,Gloria Macapagal Arroyo,gallery
1709,37,Gloria Macapagal Arroyo,probe
2592,37,Gloria Macapagal Arroyo,probe
4017,37,Gloria Macapagal Arroyo,probe
3426,37,Gloria Macapagal Arroyo,probe
130,38,Gonzalo Sanchez de Lozada,train
4174,38,Gonzalo Sanchez de Lozada,train
846,38,Gonzalo Sanchez de Lozada,train
897,38,Gonzalo Sanchez de Lozada,train
1845,38,Gonzalo Sanchez de Lozada,train
4151,38,Gonzalo Sanchez de Lozada,gallery
414,38,Gonzalo Sanchez de Lozada,probe
2092,38,Gonzalo Sanchez de Lozada,probe
1685,38,Gonzalo Sanchez de Lozada,probe
693,38,Gonzalo Sanchez de Lozada,probe
2296,39,Gordon Brown,train
2371,39,Gordon Brown,train
1879,39,Gordon Brown,train
1025,39,Gordon Brown,train
844,39,Gordon Brown,train
402,39,Gordon Brown,gallery
2807,39,Gordon Brown,probe
1662,39,Gordon Brown,probe
556,39,Gordon Brown,probe
3399,39,Gordon Brown,probe
222,40,Gray Davis,train
896,40,Gray Davis,train
1002,40,Gray Davis,train
1379,40,Gray Davis,train
3015,40,Gray Davis,train
2103,40,Gray Davis,gallery
3283,40,Gray Davis,probe
4043,40,Gray Davis,probe
2485,40,Gray Davis,probe
2682,40,Gray Davis,probe
174,41,Guillermo Coria,train
1627,41,Guillermo Coria,train
1408,41,Guillermo Coria,train
3079,41,Guillermo Coria,train
3938,41,Guillermo Coria,train
237,41,Guillermo Coria,gallery
152,41,Guillermo Coria,probe
3870,41,Guillermo Coria,probe
4301,41,Guillermo Coria,probe
2751,41,Guillermo Coria,probe
2176,42,Halle Berry,train
3774,42,Halle Berry,train
3556,42,Halle Berry,train
2002,42,Halle Berry,train
3990,42,Halle Berry,train
2792,42,Halle Berry,gallery
4044,42,Halle Berry,probe
2115,42,Halle Berry,probe
75,42,Halle Berry,probe
1066,42,Halle Berry,probe
3246,43,Hamid Karzai,train
1558,43,Hamid Karzai,train
3487,43,Hamid Karzai,train
2871,43,Hamid Karzai,train
2299,43,Hamid Karzai,train
4013,43,Hamid Karzai,gallery
1086,43,Hamid Karzai,probe
3568,43,Hamid Karzai,probe
1433,43,Hamid Karzai,probe
1265,43,Hamid Karzai,probe
157,44,Hans Blix,train
519,44,Hans Blix,train
1535,44,Hans Blix,train
1581,44,Hans Blix,train
3423,44,Hans Blix,train
592,44,Hans Blix,gallery
2016,44,Hans Blix,probe
4189,44,Hans Blix,probe
1195,44,Hans Blix,probe
574,44,Hans Blix,probe
961,45,Harrison Ford,train
4297,45,Harrison Ford,train
146,45,Harrison Ford,train
3796,45,Harrison Ford,train
4039,45,Harrison Ford,train
3528,45,Harrison Ford,gallery
1665,45,Harrison Ford,probe
3179,45,Harrison Ford,probe
1007,45,Harrison Ford,probe
571,45,Harrison Ford,probe
3770,46,Hillary Clinton,train
3516,46,Hillary Clinton,train
3128,46,Hillary Clinton,train
3212,46,Hillary Clinton,train
467,46,Hillary Clinton,train
1905,46,Hillary Clinton,gallery
1064,46,Hillary Clinton,probe
1177,46,Hillary Clinton,probe
3996,46,Hillary Clinton,probe
2683,46,Hillary Clinton,probe
1520,47,Howard Dean,train
2424,47,Howard Dean,train
575,47,Howard Dean,train
2174,47,Howard Dean,train
89,47,Howard Dean,train
791,47,Howard Dean,gallery
2748,47,Howard Dean,probe
1733,47,Howard Dean,probe
2991,47,Howard Dean,probe
3245,47,Howard Dean,probe
1205,48,Hu Jintao,train
2391,48,Hu Jintao,train
2938,48,Hu Jintao,train
3067,48,Hu Jintao,train
3084,48,Hu Jintao,train
1200,48,Hu Jintao,gallery
1094,48,Hu Jintao,probe
1730,48,Hu Jintao,probe
198,48,Hu Jintao,probe
3926,48,Hu Jintao,probe
702,49,Hugo Chavez,train
1800,49,Hugo Chavez,train
829,49,Hugo Chavez,train
4195,49,Hugo Chavez,train
3341,49,Hugo Chavez,train
141,49,Hugo Chavez,gallery
261,49,Hugo Chavez,probe
2953,49,Hugo Chavez,probe
2441,49,Hugo Chavez,probe
4050,49,Hugo Chavez,probe
2598,50,Ian Thorpe,train
3464,50,Ian Thorpe,train
192,50,Ian Thorpe,train
2303,50,Ian Thorpe,train
3274,50,Ian Thorpe,train
729,50,Ian Thorpe,gallery
1710,50,Ian Thorpe,probe
134,50,Ian Thorpe,probe
2472,50,Ian Thorpe,probe
552,50,Ian Thorpe,probe
2879,51,Igor Ivanov,train
568,51,Igor Ivanov,train
782,51,Igor Ivanov,train
3153,51,Igor Ivanov,train
3238,51,Igor Ivanov,train
1208,51,Igor Ivanov,gallery
1419,51,Igor Ivanov,probe
1890,51,Igor Ivanov,probe
4248,51,Igor Ivanov,probe
1383,51,Igor Ivanov,probe
754,52,Jack Straw,train
2589,52,Jack Straw,train
717,52,Jack Straw,train
4252,52,Jack Straw,train
1119,52,Jack Straw,train
4137,52,Jack Straw,gallery
159,52,Jack Straw,probe
2347,52,Jack Straw,probe
2952,52,Jack Straw,probe
1624,52,Jack Straw,probe
3823,53,Jackie Chan,train
1418,53,Jackie Chan,train
3344,53,Jackie Chan,train
2041,53,Jackie Chan,train
3506,53,Jackie Chan,train
1511,53,Jackie Chan,gallery
3873,53,Jackie Chan,probe
3700,53,Jackie Chan,probe
4095,53,Jackie Chan,probe
3332,53,Jackie Chan,probe
1854,54,Jacques Chirac,train
1178,54,Jacques Chirac,train
2204,54,Jacques Chirac,train
1726,54,Jacques Chirac,train
3454,54,Jacques Chirac,train
2542,54,Jacques Chirac,gallery
2325,54,Jacques Chirac,probe
3642,54,Jacques Chirac,probe
1799,54,Jacques Chirac,probe
830,54,Jacques Chirac,probe
2622,55,Jacques Rogge,train
3786,55,Jacques Rogge,train
2007,55,Jacques Rogge,train
2377,55,Jacques Rogge,train
1507,55,Jacques Rogge,train
3890,55,Jacques Rogge,gallery
3187,55,Jacques Rogge,probe
3504,55,Jacques Rogge,probe
3250,55,Jacques Rogge,probe
690,55,Jacques Rogge,probe
3470,56,James Blake,train
5,56,James Blake,train
3475,56,James Blake,train
2345,56,James Blake,train
3539,56,James Blake,train
776,56,James Blake,gallery
2208,56,James Blake,probe
3167,56,James Blake,probe
3733,56,James Blake,probe
3436,56,James Blake,probe
3497,57,James Kelly,train
2440,57,James Kelly,train
57,57,James Kelly,train
4180,57,James Kelly,train
2633,57,James Kelly,train
2995,57,James Kelly,gallery
385,57,James Kelly,probe
19,57,James Kelly,probe
2435,57,James Kelly,probe
2286,57,James Kelly,probe
3439,58,Jason Kidd,train
1186,58,Jason Kidd,train
1924,58,Jason Kidd,train
762,58,Jason Kidd,train
2896,58,Jason Kidd,train
1357,58,Jason Kidd,gallery
438,58,Jason Kidd,probe
544,58,Jason Kidd,probe
448,58,Jason Kidd,probe
1190,58,Jason Kidd,probe
1811,59,Javier Solana,train
3253,59,Javier Solana,train
209,59,Javier Solana,train
329,59,Javier Solana,train
3100,59,Javier Solana,train
3453,59,Javier Solana,gallery
912,59,Javier Solana,probe
32,59,Javier Solana,probe
1217,59,Javier Solana,probe
181,59,Javier Solana,probe
969,60,Jean Charest,train
3677,60,Jean Charest,train
925,60,Jean Charest,train
1746,60,Jean Charest,train
4118,60,Jean Charest,train
1031,60,Jean Charest,gallery
1429,60,Jean Charest,probe
756,60,Jean Charest,probe
3501,60,Jean Charest,probe
3030,60,Jean Charest,probe
3233,61,Jean Chretien,train
230,61,Jean Chretien,train
2422,61,Jean Chretien,train
857,61,Jean Chretien,train
968,61,Jean Chretien,train
3013,61,Jean Chretien,gallery
2488,61,Jean Chretien,probe
2497,61,Jean Chretien,probe
1309,61,Jean Chretien,probe
4130,61,Jean Chretien,probe
3176,62,Jean-David Levitte,train
3553,62,Jean-David Levitte,train
1950,62,Jean-David Levitte,train
346,62,Jean-David Levitte,train
2362,62,Jean-David Levitte,train
2949,62,Jean-David Levitte,gallery
3980,62,Jean-David Levitte,probe
1070,62,Jean-David Levitte,probe
1441,62,Jean-David Levitte,probe
3334,62,Jean-David Levitte,probe
3325,63,Jeb Bush,train
50,63,Jeb Bush,train
163,63,Jeb Bush,train
2057,63,Jeb Bush,train
2443,63,Jeb Bush,train
2703,63,Jeb Bush,gallery
3406,63,Jeb Bush,probe
4243,63,Jeb Bush,probe
991,63,Jeb Bush,probe
1966,63,Jeb Bush,probe
468,64,Jennifer Aniston,train
2121,64,Jennifer Aniston,train
2275,64,Jennifer Aniston,train
1521,64,Jennifer Aniston,train
3395,64,Jennifer Aniston,train
3391,64,Jennifer Aniston,gallery
891,64,Jennifer Aniston,probe
1078,64,Jennifer Aniston,probe
479,64,Jennifer Aniston,probe
1599,64,Jennifer Aniston,probe
2388,65,Jennifer Capriati,train
1276,65,Jennifer Capriati,train
1461,65,Jennifer Capriati,train
1756,65,Jennifer Capriati,train
2257,65,Jennifer Capriati,train
2931,65,Jennifer Capriati,gallery
580,65,Jennifer Capriati,probe
1475,65,Jennifer Capriati,probe
4169,65,Jennifer Capriati,probe
666,65,Jennifer Capriati,probe
2390,66,Jennifer Garner,train
2555,66,Jennifer Garner,train
219,66,Jennifer Garner,train
1242,66,Jennifer Garner,train
3104,66,Jennifer Garner,train
715,66,Jennifer Garner,gallery
1602,66,Jennifer Garner,probe
3976,66,Jennifer Garner,probe
2523,66,Jennifer Garner,probe
111,66,Jennifer Garner,probe
1961,67,Jennifer Lopez,train
3123,67,Jennifer Lopez,train
4287,67,Jennifer Lopez,train
799,67,Jennifer Lopez,train
1557,67,Jennifer Lopez,train
1476,67,Jennifer Lopez,gallery
3311,67,Jennifer Lopez,probe
2160,67,Jennifer Lopez,probe
3216,67,Jennifer Lopez,probe
2102,67,Jennifer Lopez,probe
92,68,Jeremy Greenstock,train
3389,68,Jeremy Greenstock,train
3697,68,Jeremy Greenstock,train
3654,68,Jeremy Greenstock,train
3404,68,Jeremy Greenstock,train
2623,68,Jeremy Greenstock,gallery
4146,68,Jeremy Greenstock,probe
1166,68,Jeremy Greenstock,probe
3051,68,Jeremy Greenstock,probe
861,68,Jeremy Greenstock,probe
3355,69,Jiang Zemin,train
2585,69,Jiang Zemin,train
2157,69,Jiang Zemin,train
1846,69,Jiang Zemin,train
1297,69,Jiang Zemin,train
1399,69,Jiang Zemin,gallery
2338,69,Jiang Zemin,probe
1562,69,Jiang Zemin,probe
1420,69,Jiang Zemin,probe
2409,69,Jiang Zemin,probe
53,70,Jiri Novak,train
647,70,Jiri Novak,train
585,70,Jiri Novak,train
3843,70,Jiri Novak,train
2547,70,Jiri Novak,train
3656,70,Jiri Novak,gallery
1583,70,Jiri Novak,probe
2735,70,Jiri Novak,probe
1880,70,Jiri Novak,probe
4312,70,Jiri Novak,probe
3830,71,Joe Lieberman,train
3161,71,Joe Lieberman,train
1505,71,Joe Lieberman,train
636,71,Joe Lieberman,train
513,71,Joe Lieberman,train
1837,71,Joe Lieberman,gallery
1762,71,Joe Lieberman,probe
1780,71,Joe Lieberman,probe
3102,71,Joe Lieberman,probe
4289,71,Joe Lieberman,probe
1397,72,John Allen Muhammad,train
4011,72,John Allen Muhammad,train
147,72,John Allen Muhammad,train
4239,72,John Allen Muhammad,train
3186,72,John Allen Muhammad,train
370,72,John Allen Muhammad,gallery
3486,72,John Allen Muhammad,probe
101,72,John Allen Muhammad,probe
1373,72,John Allen Muhammad,probe
1390,72,John Allen Muhammad,probe
4160,73,John Ashcroft,train
600,73,John Ashcroft,train
2754,73,John Ashcroft,train
2116,73,John Ashcroft,train
1587,73,John Ashcroft,train
795,73,John Ashcroft,gallery
599,73,John Ashcroft,probe
2036,73,John Ashcroft,probe
2436,73,John Ashcroft,probe
2209,73,John Ashcroft,probe
1185,74,John Bolton,train
2802,74,John Bolton,train
576,74,John Bolton,train
4072,74,John Bolton,train
888,74,John Bolton,train
1996,74,John Bolton,gallery
2958,74,John Bolton,probe
1156,74,John Bolton,probe
941,74,John Bolton,probe
1528,74,John Bolton,probe
4062,75,John Howard,train
4028,75,John Howard,train
3715,75,John Howard,train
2015,75,John Howard,train
1260,75,John Howard,train
2340,75,John Howard,gallery
3825,75,John Howard,probe
2516,75,John Howard,probe
1691,75,John Howard,probe
670,75,John Howard,probe
3300,76,John Kerry,train
2235,76,John Kerry,train
2439,76,John Kerry,train
4279,76,John Kerry,train
2014,76,John Kerry,train
2691,76,John Kerry,gallery
1781,76,John Kerry,probe
3207,76,John Kerry,probe
12,76,John Kerry,probe
3275,76,John Kerry,probe
3410,77,John Negroponte,train
921,77,John Negroponte,train
4069,77,John Negroponte,train
317,77,John Negroponte,train
46,77,John Negroponte,train
2577,77,John Negroponte,gallery
3291,77,John Negroponte,probe
2912,77,John Negroponte,probe
532,77,John Negroponte,probe
2111,77,John Negroponte,probe
2193,78,John Paul II,train
1029,78,John Paul II,train
2355,78,John Paul II,train
275,78,John Paul II,train
3159,78,John Paul II,train
602,78,John Paul II,gallery
2617,78,John Paul II,probe
1648,78,John Paul II,probe
2910,78,John Paul II,probe
999,78,John Paul II,probe
3272,79,John Snow,train
4268,79,John Snow,train
272,79,John Snow,train
2620,79,John Snow,train
1490,79,John Snow,train
225,79,John Snow,gallery
783,79,John Snow,probe
2411,79,John Snow,probe
2702,79,John Snow,probe
3978,79,John Snow,probe
983,80,Joschka Fischer,train
3001,80,Joschka Fischer,train
2730,80,Joschka Fischer,train
1517,80,Joschka Fischer,train
1306,80,Joschka Fischer,train
199,80,Joschka Fischer,gallery
4215,80,Joschka Fischer,probe
839,80,Joschka Fischer,probe
1413,80,Joschka Fischer,probe
3162,80,Joschka Fischer,probe
943,81,Jose Maria Aznar,train
18,81,Jose Maria Aznar,train
2484,81,Jose Maria Aznar,train
3818,81,Jose Maria Aznar,train
2293,81,Jose Maria Aznar,train
1319,81,Jose Maria Aznar,gallery
2124,81,Jose Maria Aznar,probe
3139,81,Jose Maria Aznar,probe
352,81,Jose Maria Aznar,probe
367,81,Jose Maria Aznar,probe
395,82,Juan Carlos Ferrero,train
1629,82,Juan Carlos Ferrero,train
3703,82,Juan Carlos Ferrero,train
470,82,Juan Carlos Ferrero,train
2852,82,Juan Carlos Ferrero,train
739,82,Juan Carlos Ferrero,gallery
508,82,Juan Carlos Ferrero,probe
1068,82,Juan Carlos Ferrero,probe
4200,82,Juan Carlos Ferrero,probe
1248,82,Juan Carlos Ferrero,probe
4247,83,Julianne Moore,train
432,83,Julianne Moore,train
2851,83,Julianne Moore,train
3721,83,Julianne Moore,train
160,83,Julianne Moore,train
340,83,Julianne Moore,gallery
3174,83,Julianne Moore,probe
3066,83,Julianne Moore,probe
3306,83,Julianne Moore,probe
1020,83,Julianne Moore,probe
3523,84,Julie Gerberding,train
1372,84,Julie Gerberding,train
3365,84,Julie Gerberding,train
1034,84,Julie Gerberding,train
1299,84,Julie Gerberding,train
2261,84,Julie Gerberding,gallery
3597,84,Julie Gerberding,probe
1158,84,Julie Gerberding,probe
622,84,Julie Gerberding,probe
412,84,Julie Gerberding,probe
3845,85,Junichiro Koizumi,train
950,85,Junichiro Koizumi,train
3094,85,Junichiro Koizumi,train
1849,85,Junichiro Koizumi,train
3268,85,Junichiro Koizumi,train
551,85,Junichiro Koizumi,gallery
4175,85,Junichiro Koizumi,probe
2635,85,Junichiro Koizumi,probe
4236,85,Junichiro Koizumi,probe
166,85,Junichiro Koizumi,probe
4225,86,Keanu Reeves,train
33,86,Keanu Reeves,train
1940,86,Keanu Reeves,train
3320,86,Keanu Reeves,train
1847,86,Keanu Reeves,train
1522,86,Keanu Reeves,gallery
2857,86,Keanu Reeves,probe
2216,86,Keanu Reeves,probe
763,86,Keanu Reeves,probe
3356,86,Keanu Reeves,probe
3865,87,Kim Clijsters,train
1201,87,Kim Clijsters,train
